Timestamp,MachineID,SensorID,Reading,Unit,Location,Maintenance,Failure
2024-01-01 00:00:00,Machine_8,Sensor_6,26.828328360262354,mm/s,Location_1,Maintenance_5,0
2024-01-01 01:00:00,Machine_2,Sensor_5,31.26621186590221,Celsius,Location_10,Maintenance_1,0
2024-01-01 02:00:00,Machine_1,Sensor_2,34.09756589853327,RPM,Location_9,Maintenance_3,1
2024-01-01 03:00:00,Machine_7,Sensor_2,43.36672520461688,Celsius,Location_7,Maintenance_2,0
2024-01-01 04:00:00,Machine_6,Sensor_10,24.345034247553407,mm/s,Location_4,Maintenance_3,1
2024-01-01 05:00:00,Machine_4,Sensor_20,35.55455603040678,mm/s,Location_1,Maintenance_4,1
2024-01-01 06:00:00,Machine_8,Sensor_9,33.15065214316161,RPM,Location_2,Maintenance_5,1
2024-01-01 07:00:00,Machine_1,Sensor_19,40.59358334247092,Volts,Location_5,Maintenance_3,1
2024-01-01 08:00:00,Machine_7,Sensor_19,23.158099198703397,Celsius,Location_6,Maintenance_5,1
2024-01-01 09:00:00,Machine_5,Sensor_12,38.099141230203664,Celsius,Location_1,Maintenance_5,1
2024-01-01 10:00:00,Machine_1,Sensor_9,20.7354505926362,Celsius,Location_5,Maintenance_5,1
2024-01-01 11:00:00,Machine_4,Sensor_12,25.82417669173617,PSI,Location_7,Maintenance_2,1
2024-01-01 12:00:00,Machine_10,Sensor_11,29.07682927303047,PSI,Location_4,Maintenance_5,1
2024-01-01 13:00:00,Machine_3,Sensor_10,44.566488966409416,mm/s,Location_4,Maintenance_1,0
2024-01-01 14:00:00,Machine_6,Sensor_15,46.178202353731834,PSI,Location_8,Maintenance_3,0
2024-01-01 15:00:00,Machine_3,Sensor_18,25.078439719315412,PSI,Location_9,Maintenance_4,1
2024-01-01 16:00:00,Machine_2,Sensor_14,31.68576371496821,RPM,Location_7,Maintenance_3,1
2024-01-01 17:00:00,Machine_7,Sensor_20,43.04423106135775,PSI,Location_8,Maintenance_2,0
